component,dependency,version,license,direct_or_transitive,ecosystem,flagged,flag_reason,classification
api,github.com/ClickHouse/ch-go,(see go.sum),Apache-2.0,transitive,go,False,,a
api,github.com/ClickHouse/clickhouse-go/v2,(see go.sum),Apache-2.0,direct,go,False,,a
api,github.com/andybalholm/brotli,(see go.sum),MIT,transitive,go,False,,a
api,github.com/andybalholm/brotli/flate,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,github.com/cespare/xxhash/v2,(see go.sum),MIT,transitive,go,False,,a
api,github.com/go-faster/city,(see go.sum),MIT,transitive,go,False,,a
api,github.com/go-faster/errors,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,github.com/google/uuid,(see go.sum),BSD-3-Clause,direct,go,False,,a
api,github.com/jackc/pgpassfile,(see go.sum),MIT,transitive,go,False,,a
api,github.com/jackc/pgservicefile,(see go.sum),MIT,transitive,go,False,,a
api,github.com/jackc/pgx/v5,(see go.sum),MIT,transitive,go,False,,a
api,github.com/jackc/puddle/v2,(see go.sum),MIT,transitive,go,False,,a
api,github.com/klauspost/compress,(see go.sum),Apache-2.0,transitive,go,False,,a
api,github.com/klauspost/compress/internal/snapref,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,github.com/klauspost/compress/zstd/internal/xxhash,(see go.sum),MIT,transitive,go,False,,a
api,github.com/paulmach/orb,(see go.sum),MIT,transitive,go,False,,a
api,github.com/pierrec/lz4/v4,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,github.com/segmentio/asm/bswap,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
api,github.com/segmentio/asm/cpu,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
